Date;Economic Policy Uncertainty;Monetary policy;Fiscal Policy (Taxes OR Spending);Taxes;Government spending;Health care;National security;Entitlement programs;Regulation;Financial Regulation;Trade policy;Sovereign debt or currency crises
01/01/1991;271.8324093;343.66884;271.2848413;241.6227415;334.9200618;151.6105757;758.2634099;113.1861288;201.3202405;580.8658692;97.83042065;0
01/02/1991;153.9738099;172.3233033;158.3834514;153.4117554;378.7405325;391.5480853;234.8671419;527.590148;352.9785136;273.3207576;128.9939869;0
01/03/1991;122.1363771;176.3829734;78.83839855;73.55461459;76.45914837;27.66564627;298.7104962;47.9288338;112.2319475;261.4554185;148.2803399;0
01/04/1991;111.1681082;117.5936527;68.09060519;68.58819743;44.34819314;39.5958955;133.7573034;50.5452846;86.42065738;128.0167366;78.18750623;21.85188326
01/05/1991;79.57537906;52.78300005;60.36921666;67.19264358;35.12840681;48.42175313;93.18739061;29.90429204;54.56494071;66.73507281;103.221136;21.15541604
01/06/1991;84.9416968;48.23958314;67.62559361;62.80454024;62.02034506;72.6666534;89.7411108;60.47656418;69.36204815;90.89198395;87.47533142;0
01/07/1991;109.7069054;96.67242759;92.06665376;89.78062775;84.93092671;102.7937152;102.7667141;80.79694297;129.3490649;141.6707497;94.95476986;112.2761812
01/08/1991;102.425411;82.48524316;69.30375333;57.41965408;82.69143182;34.60218008;130.6397909;35.65409895;66.05720695;86.56132213;48.59601849;42.6851527
01/09/1991;117.1181443;96.21957091;72.3093718;64.60868743;79.75245645;68.02073748;106.3317609;72.21248942;111.4915138;126.6186211;56.24261324;0
01/10/1991;112.0872265;111.7930834;101.2519037;108.6067938;70.26769921;61.17379655;113.5240324;82.42842601;146.4864813;316.1624815;84.76311655;40.0901568
01/11/1991;172.5034415;201.0340978;208.7442158;216.5442795;167.1843492;186.9060827;143.4579454;192.2695049;143.1300238;180.4350561;116.5299382;0
01/12/1991;185.4754762;160.0887572;167.8428631;173.1553553;156.0009861;111.0083908;239.9664149;146.755658;156.7188353;267.220968;207.1696077;65.88605364
01/01/1992;162.1154695;160.1280451;213.3596823;222.9367728;189.1940888;193.6162317;206.2063781;189.0103598;119.3311032;84.02045482;134.7701747;20.71609961
01/02/1992;169.7040451;160.0204103;180.2424386;185.7795365;158.9180639;153.8938317;165.9121887;126.0995625;127.4857289;98.26895199;99.30374725;43.6125813
01/03/1992;125.4098384;95.02530672;122.9614518;124.1121497;103.9272241;109.2940865;141.1190136;119.8112124;131.9273715;78.77964029;164.2729699;0
01/04/1992;95.18696839;71.47795214;76.15170365;76.28309772;70.16085804;59.17200809;96.17696285;87.44703801;96.36200028;81.17530979;97.65488686;120.0876006
01/05/1992;93.57783044;48.04074435;93.99875003;89.11268243;86.89075272;80.27278135;73.37297914;72.10885915;89.59536223;90.31208146;117.3382573;0
01/06/1992;119.8197537;86.18208484;89.49097872;74.65604858;114.9458221;77.85600462;129.0431553;69.01763886;94.19803816;58.0880233;167.7134397;21.48329141
01/07/1992;134.573995;173.24168;118.9170001;111.0557693;126.3916883;100.5121313;110.9362454;67.71736629;108.7333813;85.49049235;116.5589179;21.07855235
01/08/1992;151.883382;141.7331091;174.9034345;176.5036348;199.4763928;174.1874467;180.1465785;121.4008387;128.1501488;66.22507697;286.8104685;167.9499546
01/09/1992;155.7167824;195.9262274;151.8856398;149.6481953;209.7393409;151.1855598;145.5773164;91.13542219;141.672963;75.19925504;284.9667036;1439.256217
