time;isFOMCmonth;MM_IV1;MM_IV5
199101;1;-0.0325534;-0.0078452
199102;1;-0.084809;0.025025
199103;1;0.0175171;0.0094785
199104;1;-0.1287668;0.0116805
199105;1;0.0664314;0.0069419
199106;0;0;0
199107;1;0.0837229;0.0229022
199108;1;0.0543584;0.0676097
199109;1;0.0059631;0.0144862
199110;1;0.0185835;0.023577
199111;1;-0.056155;-0.0500862
199112;1;-0.0482108;0.037407
199201;0;0;0
199202;1;0.0231061;0.0008806
199203;0;0;0
199204;1;-0.1587459;-0.0241754
199205;1;0.0203803;0.0385679
199206;0;0;0
199207;1;-0.2210042;-0.2440414
199208;1;-0.0232709;-0.0814438
199209;1;-0.0271099;-0.0413011
199210;1;0.0724546;0.024676
199211;1;0.0486496;0.0116074
199212;1;-0.0077253;-0.0006106
199301;0;0;0
199302;1;0.0011683;-0.0088296
199303;1;-0.0075519;0.0212598
199304;0;0;0
199305;1;0.0143582;0.0145513
199306;0;0;0
199307;1;0.0142984;-0.016177
199308;1;0.0287205;0.0249696
199309;1;0.0546538;0.0296205
199310;0;0;0
199311;1;-0.000067;0.0028153
199312;1;-0.0259071;-0.0287318
199401;0;0;0
199402;1;-0.017575;-0.0188983
199403;1;-0.0286798;-0.0079689
199404;1;0.1354298;-0.0047696
199405;1;0.0562643;0.0478614
199406;0;0;0
199407;1;-0.0023166;-0.0086063
199408;1;0.0083418;0.0318751
199409;1;-0.0282588;-0.0374465
199410;0;0;0
199411;1;0.073367;0.0641213
199412;1;-0.0389625;-0.0282725
199501;0;0;0
199502;1;-0.0274844;0.0053033
199503;1;0.0226904;0.0369745
199504;0;0;0
199505;1;0.0170416;0.0182591
199506;0;0;0
199507;1;-0.0934057;-0.0922971
199508;1;0.007725;-0.0231676
199509;1;0.003399;-0.0202877
199510;0;0;0
199511;1;0.0297003;0.0288671
199512;1;-0.0393145;-0.0322964
199601;1;0.0025242;-0.0142124
199602;0;0;0
199603;1;-0.0002516;-0.0082985
199604;0;0;0
199605;1;0.0182615;-0.0028194
199606;0;0;0
199607;1;-0.0007187;-0.0271374
199608;1;0.0184652;0.0084241
199609;1;-0.1128021;-0.1004237
199610;0;0;0
199611;1;0.0017137;-0.0018908
199612;1;0.0243609;-0.0238308
199701;0;0;0
199702;1;0.0096889;-0.0093285
199703;1;0.0578045;0.0565076
199704;0;0;0
199705;1;-0.0246317;-0.0208624
199706;0;0;0
199707;1;-0.0014712;0.0132132
199708;1;0.0144067;0.0170692
199709;1;0.0126804;-0.0000739
199710;0;0;0
199711;1;0.010747;0.0042524
199712;1;0.0028737;-0.0090899
199801;0;0;0
199802;1;0.0192398;0.0263288
199803;1;-0.0086875;0.0009764
199804;0;0;0
199805;1;0.0104542;0.0256795
199806;0;0;0
199807;1;0.0101124;0.0230781
199808;1;-0.0005511;0.0080171
199809;1;0.0446023;0.0500348
199810;1;-0.2221654;0.0171815
199811;1;0.0062076;0.0130978
199812;1;-0.0409072;-0.0018886
199901;0;0;0
199902;1;0.0216142;0.0238586
199903;1;-0.0567597;-0.0334458
199904;0;0;0
199905;1;0.0586694;0.0381898
199906;1;-0.0628007;-0.0721589
199907;0;0;0
199908;1;-0.0071916;-0.0222027
199909;0;0;0
199910;1;0.0404586;0.0266006
199911;1;0.0836243;0.0722881
199912;1;0.0036856;0.0088166
200001;0;0;0
200002;1;-0.0038284;0.0101786
200003;1;-0.0235319;-0.0319929
200004;0;0;0
200005;1;0.0419426;0.0255342
200006;1;0.000849;-0.0132448
200007;0;0;0
200008;1;0.0153606;0.0014861
200009;0;0;0
200010;1;0.0476565;0.0395822
200011;1;0.0256687;0.0009298
200012;1;0.0398983;0.008003
200101;1;-0.0600099;0.0582527
200102;0;0;0
200103;1;-0.0739878;-0.0733758
200104;1;-0.3207542;-0.019899
200105;1;-0.0956462;-0.082907
200106;1;0.0370556;0.0430405
200107;0;0;0
200108;1;0.0143411;-0.0234372
200109;1;-0.0383557;0.0088257
200110;1;-0.0135036;-0.0040563
200111;1;-0.0149955;-0.0499967
200112;1;0.0347606;-0.0376694
200201;1;-0.0039975;0.0057256
200202;0;0;0
200203;1;-0.0564287;-0.0825174
200204;0;0;0
200205;1;0.0159395;0.0138378
200206;1;0.0094673;0.0173629
200207;0;0;0
200208;1;-0.0491267;-0.0277467
200209;1;-0.0177312;-0.0120982
200210;0;0;0
200211;1;-0.0440101;-0.0462132
200212;1;0.0249215;0.0047399
200301;1;0.0267474;0.0116394
200302;0;0;0
200303;1;-0.0025599;-0.0200386
200304;0;0;0
200305;1;-0.0217468;-0.0289592
200306;1;0.1572287;0.1296999
200307;0;0;0
200308;1;0.0190831;0.0116667
200309;1;-0.0389107;-0.0169429
200310;1;0.0218075;0.0141298
200311;0;0;0
200312;1;0.0208014;0.0088474
200401;1;-0.0156932;0.0041754
200402;0;0;0
200403;1;-0.0122327;-0.0191636
200404;0;0;0
200405;1;0.0131913;0.0060508
200406;1;-0.0278436;-0.0248017
200407;0;0;0
200408;1;0.0092934;0.0153923
200409;1;0.0034653;0.0058701
200410;0;0;0
200411;1;0.0285606;0.0265417
200412;1;-0.0021003;0.0025939
200501;0;0;0
200502;1;-0.0070467;-0.0091627
200503;1;0.0038629;-0.0041423
200504;0;0;0
200505;1;0.0196867;0.0099853
200506;1;0.013485;0.0116762
200507;0;0;0
200508;1;-0.0055312;-0.0154319
200509;1;0.0216003;0.0225579
200510;0;0;0
